Summary,Issue Type,Priority,Description,Component,Labels
"Order total doesn't match cart total on 3+ items",Bug,Medium,"Customer reports the confirmed order total is lower than the cart's subtotal plus delivery once 3 or more distinct dishes are in the cart; discrepancy grows with more lines. See qa/tickets/FM-1.md for full detail.",Storefront,checkout;pricing
"Free delivery not applied when spending exactly the threshold",Bug,Low,"Customer added dishes to reach exactly the advertised free-delivery threshold and was still charged delivery; only became free after going over the amount. See qa/tickets/FM-2.md.",Storefront,cart;pricing
"Order timestamps appear shifted from actual submission time",Bug,Medium,"Chefs report order creation times shown in the admin view (and customer tracking) don't match when the order was actually placed, by a consistent offset. See qa/tickets/FM-3.md.",Backend,orders;timezone
"Order tracking link exposes another customer's full order by guessing the number",Bug,High,"A reporter incremented the order number in a tracking URL and was shown a stranger's full order details (name, phone, address, items) with no ownership check. See qa/tickets/FM-4.md.",Storefront,tracking;security
"Cart empties after closing private/incognito window",Bug,Low,"Reported as a bug; triaged as expected private-browsing behavior, not a defect. Closed not-a-bug. See qa/tickets/FM-5.md.",Storefront,cart;triage
"Chef rating differs between storefront and admin",Bug,Low,"Reported as a data mismatch; triaged as expected display rounding (storefront rounds to 1 decimal, admin shows raw value). Closed not-a-bug. See qa/tickets/FM-6.md.",Storefront,triage
"Filter chefs by cuisine on Explore",Story,Medium,"Add a cuisine filter to the Explore chef grid so customers can narrow results without paging through every active chef. See qa/tickets/FM-7.md for acceptance criteria.",Storefront,explore;feature
"Remember delivery address for faster repeat checkout",Story,Low,"Save the customer's last-used delivery details in browser storage and pre-fill checkout on return visits, with no accounts involved. See qa/tickets/FM-8.md for acceptance criteria.",Storefront,checkout;feature
"Show estimated delivery time on chef page",Story,Low,"Show a configurable estimated delivery/pickup time range on the chef page. Requires a new admin-editable chef field. See qa/tickets/FM-9.md for acceptance criteria.",Storefront,chef-page;feature
"No way for a customer to cancel an order after placing it",Story,High,"Customers frequently ask to cancel shortly after placing an order; no cancellation flow exists in the spec or the product. Requirement gap needing grooming before implementation. See qa/tickets/FM-10.md.",Storefront,checkout;requirement-gap
"No automated test coverage for pricing and delivery-fee calculation",Improvement,Medium,"Order total and delivery-fee/free-threshold calculation has no dedicated unit tests, only incidental coverage from the happy-path order test. See qa/tickets/FM-11.md for acceptance criteria.",Backend,tech-debt;testing
"Inconsistent error response shapes across the API",Improvement,Low,"Error responses vary by endpoint (standard Spring shape vs ad hoc message vs a leaked stack trace on one path), inconsistent with the documented contract. See qa/tickets/FM-12.md for acceptance criteria.",Backend,tech-debt;api
